names	scores	logfoldchanges	pvals	pvals_adj
PTGDS	55.824875	6.7066483	0.0	0.0
DCN	55.802254	6.9181366	0.0	0.0
CPE	54.74448	5.806252	0.0	0.0
SERPINF1	54.571175	5.647474	0.0	0.0
APOE	53.758583	6.1978874	0.0	0.0
TIMP1	53.47787	4.407027	0.0	0.0
C11orf96	52.887543	5.5282288	0.0	0.0
C1S	52.777275	6.7104735	0.0	0.0
CD63	52.053474	2.938324	0.0	0.0
CALD1	51.650345	4.1014595	0.0	0.0
CD81	51.605515	2.2731092	0.0	0.0
COL6A2	51.343636	4.23082	0.0	0.0
NR2F2	51.07152	4.31456	0.0	0.0
COL1A2	51.04428	6.4038906	0.0	0.0
NGFRAP1	50.044926	3.5333831	0.0	0.0
OSR2	49.447735	6.05469	0.0	0.0
LGALS1	49.399246	3.808495	0.0	0.0
LTBP4	49.09303	4.2085342	0.0	0.0
LGALS3BP	49.019596	5.5788817	0.0	0.0
C1R	48.1345	5.2984004	0.0	0.0
PLAC9	48.065712	5.5498977	0.0	0.0
DPEP1	47.130432	6.413272	0.0	0.0
FBLN5	46.5071	5.713916	0.0	0.0
FHL2	46.018085	5.11803	0.0	0.0
PLTP	45.938602	4.619834	0.0	0.0
IGFBP7	45.03355	4.6656995	0.0	0.0
TSHZ2	44.962006	6.7343864	0.0	0.0
ITM2B	44.961754	1.7808392	0.0	0.0
RARRES2	44.588852	5.081786	0.0	0.0
SMOC2	44.35642	6.3922825	0.0	0.0
GSTM3	44.00964	2.924341	0.0	0.0
PRPS2	43.970608	5.10397	0.0	0.0
PPAP2B	43.85516	4.821735	0.0	0.0
CD99	43.81878	2.5294173	0.0	0.0
TCEAL4	43.579716	2.929513	0.0	0.0
MEG3	43.534817	5.189382	0.0	0.0
COL1A1	43.524548	5.886468	0.0	0.0
F10	43.414303	6.2238083	0.0	0.0
MYL9	42.70633	3.7558856	0.0	0.0
EID1	42.16583	2.2230246	0.0	0.0
RPL13A	42.12229	1.7240032	0.0	0.0
APOD	42.02171	4.5096292	0.0	0.0
EEF1A1	42.02005	1.9856654	0.0	0.0
TIMP2	41.626495	3.1079957	0.0	0.0
NUPR1	41.441162	3.3330002	0.0	0.0
NDN	41.396435	3.501575	0.0	0.0
RPS8	41.37126	1.8367438	0.0	0.0
MMP2	41.24824	5.125202	0.0	0.0
ALDH1A1	41.14933	4.920498	0.0	0.0
GSTM5	41.089188	5.753807	0.0	0.0
VIM	40.702732	3.4065473	0.0	0.0
IGF1	40.633705	6.442033	0.0	0.0
MAGED2	40.626053	3.4187808	0.0	0.0
RPL10A	40.59346	1.7101817	0.0	0.0
FTL	40.586815	2.084188	0.0	0.0
LAPTM4A	40.13281	1.6797373	0.0	0.0
AK1	39.85214	3.3401132	0.0	0.0
PRDX2	39.795895	3.077007	0.0	0.0
SEPP1	39.589252	3.0588076	0.0	0.0
PEBP1	39.37559	1.9505851	0.0	0.0
TPM2	38.941128	3.4203503	0.0	0.0
S100A6	38.65585	2.9369898	0.0	0.0
MYL6	38.483986	2.2493768	0.0	0.0
