names	scores	logfoldchanges	pvals	pvals_adj
GAPDHS	14.77668	8.727605	2.0712595945228155e-49	2.017643204076565e-46
GPX4	14.77668	4.8974047	2.0712595945228155e-49	2.017643204076565e-46
TEX40	14.776591	7.9404993	2.0739979059216113e-49	2.017643204076565e-46
TPPP2	14.776503	8.639345	2.0767398211298655e-49	2.017643204076565e-46
SMCP	14.776413	8.258093	2.0794853448685442e-49	2.017643204076565e-46
OAZ3	14.776324	8.523438	2.0822344818649767e-49	2.017643204076565e-46
ACTRT2	14.775969	8.5082245	2.0932672571900403e-49	2.017643204076565e-46
UBL4B	14.775256	8.691475	2.1155076890938055e-49	2.017643204076565e-46
SPATA42	14.775167	8.376642	2.118304231438532e-49	2.017643204076565e-46
CCDC91	14.774278	6.4110656	2.146472857333957e-49	2.017643204076565e-46
CRISP2	14.774278	8.27854	2.146472857333957e-49	2.017643204076565e-46
ALKBH7	14.773921	5.2183275	2.1578444357285506e-49	2.017643204076565e-46
NUPR1L	14.773921	8.427484	2.1578444357285506e-49	2.017643204076565e-46
ACTL7A	14.773654	8.718572	2.166412458031395e-49	2.017643204076565e-46
GSG1	14.773654	8.792447	2.166412458031395e-49	2.017643204076565e-46
BOD1L2	14.773298	8.057246	2.177889191451741e-49	2.017643204076565e-46
TEX38	14.771607	8.802068	2.2332356294001063e-49	2.017643204076565e-46
CABS1	14.771429	8.6398945	2.239142405895018e-49	2.017643204076565e-46
TCP11	14.77094	7.19247	2.2554663552074285e-49	2.017643204076565e-46
CLPB	14.769738	7.3256474	2.296038239283656e-49	2.017643204076565e-46
SMKR1	14.768403	7.105693	2.341970688678008e-49	2.017643204076565e-46
SH3RF2	14.767869	8.443977	2.3605987614521885e-49	2.017643204076565e-46
C2orf57	14.766445	8.895779	2.410997857614794e-49	2.017643204076565e-46
H1FNT	14.765733	7.8551345	2.4365976467002247e-49	2.017643204076565e-46
PCP2	14.765199	8.555509	2.4559748973140707e-49	2.017643204076565e-46
FAM229B	14.765065	5.9026155	2.4608431310992355e-49	2.017643204076565e-46
C10orf62	14.764665	8.480284	2.4755055443186533e-49	2.017643204076565e-46
MLF1	14.760482	5.3604965	2.63394162611607e-49	2.017643204076565e-46
PROCA1	14.760482	7.9952836	2.63394162611607e-49	2.017643204076565e-46
CARHSP1	14.758613	5.8301277	2.7079567484513147e-49	2.017643204076565e-46
CCDC70	14.757767	8.410705	2.7421164454066254e-49	2.017643204076565e-46
PRM1	14.757722	7.5523925	2.7439261593901434e-49	2.017643204076565e-46
PGK2	14.754918	8.151433	2.8603677678891275e-49	2.023103055467021e-46
UBE2N	14.753449	4.7279487	2.9233108323790363e-49	2.023103055467021e-46
DCUN1D1	14.747843	7.1156206	3.1765825850393136e-49	2.1355710921707156e-46
PRM2	14.682868	8.194097	8.300387215872787e-49	5.2785975997158564e-46
ARL4A	14.564891	4.592708	4.6973480065156644e-48	2.7740325589158654e-45
C11orf71	14.564624	7.8336964	4.715737456720553e-48	2.7740325589158654e-45
LELP1	14.557237	8.654209	5.2539321476992405e-48	2.943452938937217e-45
BPIFA3	14.548603	8.690826	5.960821595120724e-48	3.157660416061569e-45
